"","x","y","Group","ID"
"A10",0.098340642760459,-0.0404376377091498,"dD1","A10"
"A100",-0.100058896918469,-0.0212850667209787,"CKH","A100"
"A101",-0.100058896918469,-0.0212850667209783,"CKH","A101"
"A102",-0.100058896918469,-0.0212850667209787,"CKH","A102"
"A11",0.0983406427604589,-0.0404376377091497,"dD1","A11"
"A12",0.0983406427604589,-0.0404376377091497,"dD1","A12"
"A25",0.0858370931260987,0.0481647448606673,"dD100","A25"
"A26",0.0858370931260988,0.0481647448606673,"dD100","A26"
"A27",0.0858370931260988,0.0481647448606674,"dD100","A27"
"A28",0.0858370931260989,0.0481647448606673,"dD100","A28"
"A29",0.0858370931260988,0.0481647448606673,"dD100","A29"
"A30",0.0858370931260989,0.0481647448606674,"dD100","A30"
"A43",-0.0675714965867684,-0.0628123251258675,"dH1","A43"
"A44",-0.0675714965867684,-0.0628123251258676,"dH1","A44"
"A45",-0.0675714965867684,-0.0628123251258675,"dH1","A45"
"A46",-0.0675714965867684,-0.0628123251258675,"dH1","A46"
"A47",-0.0675714965867684,-0.0628123251258675,"dH1","A47"
"A48",-0.0675714965867684,-0.0628123251258676,"dH1","A48"
"A61",-0.106162763911755,0.0683206698484548,"dH100","A61"
"A62",-0.106162763911755,0.0683206698484547,"dH100","A62"
"A63",-0.106162763911755,0.0683206698484548,"dH100","A63"
"A64",-0.106162763911755,0.0683206698484548,"dH100","A64"
"A65",-0.106162763911755,0.0683206698484547,"dH100","A65"
"A66",-0.106162763911755,0.0683206698484547,"dH100","A66"
"A7",0.0983406427604589,-0.0404376377091497,"dD1","A7"
"A79",0.0896154215304344,0.00804961484687391,"CKD","A79"
"A8",0.0983406427604589,-0.0404376377091497,"dD1","A8"
"A80",0.0896154215304344,0.0080496148468739,"CKD","A80"
"A81",0.0896154215304344,0.00804961484687398,"CKD","A81"
"A82",0.0896154215304344,0.00804961484687393,"CKD","A82"
"A83",0.0896154215304344,0.00804961484687398,"CKD","A83"
"A84",0.0896154215304344,0.00804961484687391,"CKD","A84"
"A9",0.0983406427604589,-0.0404376377091497,"dD1","A9"
"A97",-0.100058896918469,-0.0212850667209786,"CKH","A97"
"A98",-0.100058896918469,-0.0212850667209786,"CKH","A98"
"A99",-0.100058896918469,-0.0212850667209787,"CKH","A99"
